Unnamed: 0,name,interest_code
0,Editor,ACE
1,Graphic Designer,A
2,Photographer,RA
3,Reporter,AIE
4,Public Relation Specialists,EAS
5,Sound Engineering,RAC
6,Interpreters and Translators,CAS
7,Announcer,AES
8,Writers and Authors,AE
9,Producers and Directors,AE
10,Technical Writer,CAI
11,Art Director,AE
12,Set Designer,A
13,Dancers and Choreographers,AS
14,Actor,ASE
15,Music Director,AE
16,Aerospace Engineering,IRC
17,Agriculture Engineering,RIC
18,Media Communication and Engineering,RIC
19,Architects and Landscape Architects,RIA
20,Biomedical Engineers,IR
21,Chemical Engineers,RIC
22,Civil Engineers,RIC
23,Management,CI
24,Environmental Engineers,IRC
25,Health Safety Engineers,IRC
26,Industrial Engineers,CIR
27,Marine Engineers and Naval Architects,RIC
28,Material Engineers,RIC
29,Mechanical Engineers,RIC
30,Mining and Geological Engineers,RIC
31,Nuclear Engineers,IRC
32,Petroleum Engineers,RIC
33,Healthcare,SI
34,Business and Finance,SI
35,Community and Social Service,SCE
36,Manufacturing and Production,RCI
37,Liberal Arts and Humanities,SIA
38,Legal and Paralegal Services,CIE
39,Computer Science,SIC
40,Education,SR
41,Transportation and Distribution,EC
42,Visual And Performing Arts,SA
43,Agriculture,RIC
44,Psychology,SI
45,Technology,ECI
46,Culinary Arts and Personal Services,ERC
47,Architecture and Engineering,ECI
48,Sports,ISR
49,Biomedical Sciences,IR
50,Civil Drafter,RCA
51,Electrical and Electronics Engineers,RIC
52,Computer and Information Research Scientists,ICR
53,Computer Programmers,CI
54,Computer Support Specialists,CRI
55,Computer System Analysts,IC
56,Database Administrators,CI
57,Information and Security Analysts,CI
58,Computer Hardware Engineers,RIC
59,Network and System Administrators,CRI
60,Computer Network Architects,ICR
61,Web Developers,CI
62,Operations and Research Analysts,ECI
63,Bioinformatics Scientists,ICR
64,Botanist,IR
65,Biostatistics,IC
66,Entomologists,IR
67,Environmental Scientists,IRC
68,Geneticists,ICR
69,Marine Biologists and Oceanographers,SI
70,Molecular Biologist,IRC
71,Neuroscientists,IRC
72,Dietitians and Nutritionists,SI
73,Parasitology,SI
74,Pathology,SCI
75,Pharmacology and Toxicologist,IRC
76,Plant Scientists,IR
77,Social Worker,S
78,Accountant,CEI
79,Research Analyst,IC
80,Health Educator,SIC
81,Mental Health Counselor,SI
82,Rehabilitation Counselors,S
83,School and Career Counselor,SE
84,Substance Abuse and Behavioral Disorder Counselors,SIC
85,Probation Officers and Correctional Treatment Specialists,SCE
86,Religious Activities and Education,SE
87,Microbiologists,IRC
88,Biochemists and Biophysicists,IR
89,Zoologists and Wildlife Biologists,IR
90,Epidemiologists,IS
91,Athletic Trainers,SRI
92,Audiologists,ISC
93,Medical Records and Health Information Technicians,CIS
94,Medical Transcriptionists,CSI
95,Occupational Therapists,SI
96,Cardiovascular Technologists,RIC
97,Chiropractors,SRI
